Sp 	MDA	fv/fm	Pro	SOD	Tm
Spt	181.2	0.836	10.34	23.10	30
Spt	173.63	0.831	10.18	22.89	30
Spt	165.29	0.828	10.26	24.95	30
F1	152.13	0.828	12.42	15.81	30
F1	157.74	0.826	12.36	16.85	30
F1	162.29	0.82	12.38	17.03	30
Spc	154.46	0.82	10.58	11.83	30
Spc	150.23	0.818	10.49	12.76	30
Spc	154.25	0.824	10.52	10.84	30
Spt	194.62	0.816	13.73	61.83	20
Spt	196.43	0.812	13.68	60.02	20
Spt	202.15	0.814	13.95	58.37	20
F1	164.32	0.82	13.34	25.01	20
F1	168.62	0.817	13.27	27.86	20
F1	175.35	0.813	13.25	29.04	20
Spc	150.32	0.823	11.98	19.64	20
Spc	148.72	0.818	11.93	14.96	20
Spc	155.15	0.813	11.89	17.66	20
Spt	204.92	0.804	15.68	66.07	16
Spt	209.36	0.795	14.62	69.85	16
Spt	203.21	0.803	13.66	73.05	16
F1	182.52	0.809	17.37	36.16	16
F1	175.46	0.806	18.52	33.89	16
F1	177.27	0.805	16.46	35.24	16
Spc	157.29	0.815	12.33	23.57	16
Spc	152.55	0.808	10.15	24.79	16
Spc	158.64	0.814	13.18	25.25	16
Spt	221.63	0.803	19.62	77.10	12
Spt	218.91	0.794	20.43	78.05	12
Spt	220.74	0.796	18.55	80.26	12
F1	191.95	0.804	18.21	53.26	12
F1	193.36	0.801	16.43	50.63	12
F1	189.84	0.803	15.42	49.01	12
Spc	159.43	0.809	13.22	32.50	12
Spc	156.57	0.806	14.51	33.44	12
Spc	153.31	0.808	15.03	35.52	12
Spt	258.71	0.778	20.54	80.01	8
Spt	255.35	0.765	16.58	79.94	8
Spt	259.85	0.773	17.93	82.99	8
F1	192.84	0.785	20.01	66.79	8
F1	197.36	0.784	18.83	64.02	8
F1	188.15	0.779	17.97	63.15	8
Spc	158.58	0.806	16.28	36.31	8
Spc	160.37	0.795	14.35	37.03	8
Spc	163.56	0.802	15.47	33.78	8
Spt	288.28	0.677	22.72	104.24	4
Spt	282.61	0.696	18.79	106.95	4
Spt	281.79	0.684	21.76	107.03	4
F1	231.63	0.718	19.12	65.72	4
F1	236.57	0.727	18.94	69.31	4
F1	232.98	0.725	20.06	67.45	4
Spc	180.73	0.768	16.58	46.05	4
Spc	184.82	0.784	15.66	53.28	4
Spc	181.56	0.770	14.63	48.67	4
