# BUSCO version is: 3.0.2 
# The lineage dataset is: N/A (Creation date: N/A, number of species: N/A, number of BUSCOs: N/A)
# To reproduce this run: python /busco/scripts/run_BUSCO.py -i SPT1_trinity.okay.fasta -o run_sample_SPT -l plantae/ -m transcriptome -c 4
#
# Busco id	Status	Sequence	Score	Length
10201	Complete	TRINITY_DN21081_c0_g1_i4	351.4	574
10291	Complete	TRINITY_DN28683_c0_g1_i3	909.6	664
10324	Complete	TRINITY_DN33298_c4_g1_i9	713.0	604
10499	Complete	TRINITY_DN31456_c2_g2_i1	1365.0	794
1055	Complete	TRINITY_DN26364_c0_g1_i2	1142.5	880
10555	Complete	TRINITY_DN29406_c1_g1_i5	1199.8	835
10558	Complete	TRINITY_DN30563_c1_g1_i3	1256.6	933
10600	Complete	TRINITY_DN25778_c0_g1_i6	791.7	513
10643	Missing
10685	Complete	TRINITY_DN31448_c0_g1_i6	1133.7	742
10724	Complete	TRINITY_DN31090_c1_g1_i1	1095.8	815
10747	Complete	TRINITY_DN31430_c0_g1_i2	910.6	662
10790	Complete	TRINITY_DN31240_c0_g2_i3	838.8	554
1088	Complete	TRINITY_DN32264_c0_g1_i3	1903.1	1266
11196	Fragmented	TRINITY_DN29963_c1_g1_i6	451.5	328
11377	Complete	TRINITY_DN32191_c0_g1_i1	1136.1	628
11426	Complete	TRINITY_DN25532_c1_g3_i1	1117.4	712
11559	Complete	TRINITY_DN30870_c0_g1_i2	1528.7	729
11627	Duplicated	TRINITY_DN31287_c0_g1_i1	932.5	654
11627	Duplicated	TRINITY_DN31287_c0_g1_i3	935.1	606
11652	Complete	TRINITY_DN28062_c1_g1_i2	1110.4	805
12050	Complete	TRINITY_DN32675_c2_g5_i2	768.8	378
12073	Complete	TRINITY_DN27852_c0_g1_i2	1209.9	698
12234	Complete	TRINITY_DN33473_c0_g1_i3	931.1	676
12305	Complete	TRINITY_DN30053_c1_g1_i2	1173.7	709
12462	Complete	TRINITY_DN30814_c0_g2_i6	1190.8	684
12503	Complete	TRINITY_DN30461_c1_g1_i2	1130.1	750
12588	Complete	TRINITY_DN26214_c0_g2_i1	727.6	415
1264	Fragmented	TRINITY_DN32615_c0_g1_i2	1498.1	786
12768	Complete	TRINITY_DN20365_c0_g1_i7	1111.3	562
12773	Duplicated	TRINITY_DN26608_c0_g1_i2	655.1	643
12773	Duplicated	TRINITY_DN26608_c0_g1_i5	681.1	683
12823	Complete	TRINITY_DN31128_c0_g1_i5	1465.8	1028
1284	Complete	TRINITY_DN27645_c0_g1_i24	2217.3	1330
12855	Complete	TRINITY_DN27290_c0_g1_i1	956.7	585
12869	Complete	TRINITY_DN28559_c0_g1_i1	1221.1	656
12876	Fragmented	TRINITY_DN33021_c0_g1_i1	844.5	381
12942	Complete	TRINITY_DN30201_c0_g1_i6	1062.4	719
12980	Complete	TRINITY_DN26383_c0_g1_i4	691.0	938
12990	Complete	TRINITY_DN22176_c0_g2_i2	554.7	768
13254	Complete	TRINITY_DN28896_c0_g1_i3	1073.0	742
13325	Complete	TRINITY_DN27351_c0_g1_i13	786.3	452
