# BUSCO version is: 3.0.2 
# The lineage dataset is: N/A (Creation date: N/A, number of species: N/A, number of BUSCOs: N/A)
# To reproduce this run: python /busco/scripts/run_BUSCO.py -i SPC1_trinity.okay.fasta -o run_sample_SPC -l plantae/ -m transcriptome -c 4
#
# Busco id	Status	Sequence	Score	Length
10201	Complete	SPC_TRINITY_DN32883_c1_g2_i4	343.7	358
10291	Complete	SPC_TRINITY_DN31510_c0_g1_i6	899.4	654
10324	Complete	SPC_TRINITY_DN35105_c3_g2_i5	1041.2	701
10499	Complete	SPC_TRINITY_DN32481_c3_g2_i3	1352.7	796
1055	Complete	SPC_TRINITY_DN31080_c2_g1_i3	1462.9	1097
10555	Complete	SPC_TRINITY_DN31083_c0_g1_i1	1206.2	836
10558	Duplicated	SPC_TRINITY_DN31407_c0_g1_i1	798.0	680
10558	Duplicated	SPC_TRINITY_DN31407_c0_g1_i2	786.7	684
10600	Duplicated	SPC_TRINITY_DN30134_c2_g1_i1	812.6	539
10600	Duplicated	SPC_TRINITY_DN30134_c2_g2_i3	816.2	554
10643	Complete	SPC_TRINITY_DN28086_c0_g2_i2	1006.2	586
10685	Complete	SPC_TRINITY_DN24165_c0_g1_i1	1122.9	742
10724	Complete	SPC_TRINITY_DN33702_c3_g1_i9	1048.1	764
10747	Duplicated	SPC_TRINITY_DN30894_c0_g1_i2	898.5	678
10747	Duplicated	SPC_TRINITY_DN30894_c0_g1_i3	902.0	669
10790	Fragmented	SPC_TRINITY_DN32052_c2_g1_i8	750.5	440
1088	Complete	SPC_TRINITY_DN34517_c0_g1_i3	1967.5	1302
11196	Complete	SPC_TRINITY_DN31916_c0_g1_i12	1084.7	657
11377	Complete	SPC_TRINITY_DN31520_c0_g1_i9	1191.1	670
11426	Duplicated	SPC_TRINITY_DN29910_c0_g4_i1	1128.8	712
11426	Duplicated	SPC_TRINITY_DN29910_c0_g4_i2	1109.7	711
11559	Complete	SPC_TRINITY_DN31254_c3_g3_i2	1529.3	728
11627	Missing
11652	Complete	SPC_TRINITY_DN32036_c0_g1_i7	1078.5	797
12050	Complete	SPC_TRINITY_DN33280_c2_g1_i6	1216.6	745
12073	Complete	SPC_TRINITY_DN32187_c1_g1_i13	1214.0	696
12234	Complete	SPC_TRINITY_DN33831_c3_g2_i22	1544.6	964
12305	Duplicated	SPC_TRINITY_DN30073_c0_g1_i1	1191.4	716
